Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
iron-head-cover-set-4-piece,Iron Head Cover Set — 4-Piece Neoprene,"<p>A 4-piece neoprene iron head cover set that fits irons #3–PW. Stretchy knit cuff stays on during play, neoprene shell protects shafts and faces from bag clatter on cart rides and travel.</p><h3>Details</h3><ul><li>Fits standard and wide-body iron heads — irons #3, #5, #7, and PW</li><li>Neoprene outer shell with stretchy knit cuff</li><li>Numbered tags: 3, 5, 7, PW — never hunt for the right cover</li><li>Machine washable — lay flat to dry</li><li>Covers the shaft to the ferrule to prevent bag rattle damage</li></ul><h3>Materials</h3><p>Neoprene outer with stretch-knit cuff lining. Embroidered number tags.</p><h3>Care</h3><p>Machine wash cold, lay flat to dry. Do not tumble dry or iron.</p>",WYX Golf Supply Co.,,Accessories,"golf headcovers,iron covers,golf accessories,bag protection,golf gifts for dad,under $40,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-IHC-001,200,shopify,10,deny,manual,36.00,,TRUE,TRUE,https://images.unsplash.com/photo-1592919505780-303950717480?w=1200&h=900&fit=crop&q=80,1,Iron head cover set on golf club bag,Iron Head Covers 4-Piece Neoprene Set | WYX Golf Supply Co.,A 4-piece neoprene iron head cover set for irons #3–PW. Stretchy cuff numbered tags machine washable. Protects faces and shafts in any cart or travel bag. Under $40.,active
golf-compression-sock-set-3-pair,Golf Compression Sock Set — 3 Pairs,"<p>Three pairs of golf compression socks with arch support, moisture-wicking fabric, and cushioned heel and toe — engineered for 18-hole comfort and the post-round drive home.</p><h3>Details</h3><ul><li>Graduated compression (15–20 mmHg) reduces foot fatigue over 18 holes</li><li>Arch support band prevents plantar fasciitis flare-up during long rounds</li><li>Moisture-wicking merino-blend reduces blister risk in all weather</li><li>Cushioned heel and toe absorb impact from cart to fairway</li><li>Sizes S/M and L/XL</li></ul><h3>Materials</h3><p>65% merino wool / 30% nylon / 5% spandex.</p><h3>Care</h3><p>Machine wash cold, tumble dry low. Do not bleach.</p>",WYX Golf Supply Co.,,Apparel,"golf socks,compression socks,golf apparel,golf accessories,golf gifts,arch support,under $30,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GCS-001,150,shopify,10,deny,manual,28.00,,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&h=900&fit=crop&q=80,1,Athletic compression socks product flat lay,Golf Compression Socks 3-Pack | Arch Support | WYX Golf Supply Co.,Golf compression socks with arch support moisture-wicking merino blend and cushioned heel/toe. 3-pair set graduated compression. Under $30.,active
stroke-counter-wristband,Stroke Counter Wristband,"<p>A silicone wristband with a built-in tally clicker that tracks strokes per hole without pulling out a phone or pencil. Click to add, press to reset. Works for right- and left-hand wear.</p><h3>Details</h3><ul><li>Single-click to add a stroke — works with gloved hands</li><li>Press and hold to reset between holes</li><li>Adjustable silicone band fits wrists 5.5"–8.5"</li><li>No battery required — purely mechanical tally counter</li><li>Waterproof to 30M — works in rain and morning dew</li></ul><h3>Materials</h3><p>Food-grade silicone band with stainless steel mechanical counter mechanism.</p><h3>Care</h3><p>Rinse with fresh water after heavy use.</p>",WYX Golf Supply Co.,,Accessories,"stroke counter,golf accessories,golf score tracker,golf wristband,stocking stuffer,under $15,golf gifts under $25,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-SCW-001,50,shopify,15,deny,manual,14.00,,TRUE,TRUE,https://images.unsplash.com/photo-1631729371254-42c2892f0e6e?w=1200&h=900&fit=crop&q=80,1,Athletic wristband on wrist outdoors,Stroke Counter Wristband | Golf Score Clicker | WYX Golf Supply Co.,A mechanical stroke counter wristband for golf — click to add a stroke hold to reset. Works with gloves no battery waterproof. Under $15.,active
golf-umbrella-62-wind-vent,Golf Umbrella — 62" Auto-Open Wind-Vent,"<p>A 62-inch double-canopy golf umbrella with a wind-vent system that releases pressure gusts instead of inverting, an auto-open button, and a rubber non-slip grip. Covers you and the bag.</p><h3>Details</h3><ul><li>62-inch arc covers player and bag simultaneously</li><li>Double-canopy wind-vent releases gusts — will not invert</li><li>Auto-open button — opens in one click with a gloved hand</li><li>Fiberglass ribs — lighter and more flexible than steel in high wind</li><li>Non-slip ergonomic rubber grip handle</li><li>UV50+ canopy blocks 98% of UV radiation on sunny days</li></ul><h3>Materials</h3><p>UV50+ pongee canopy with fiberglass ribs and fiberglass shaft. Rubber-grip handle.</p><h3>Care</h3><p>Shake dry before closing. Store open to dry fully in humid conditions.</p>",WYX Golf Supply Co.,,Accessories,"golf umbrella,golf accessories,golf trip,weather golf,golf gifts,golf gifts for dad,under $50,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GU62-001,800,shopify,10,deny,manual,44.00,,TRUE,TRUE,https://images.unsplash.com/photo-1520637836993-5d6d2ce26e63?w=1200&h=900&fit=crop&q=80,1,Golf umbrella on green golf course,Golf Umbrella 62 Inch | Auto-Open Wind-Vent | WYX Golf Supply Co.,A 62-inch double-canopy golf umbrella with auto-open wind-vent system fiberglass ribs and UV50+ canopy. Covers you and the bag. Under $45.,active
portable-putting-cup-regulation,Portable Putting Cup — Regulation Diameter,"<p>A regulation 4.25" diameter portable putting cup that folds flat to ¼ inch and pops up on any surface — carpet, hardwood, short grass — for living room and backyard putting practice.</p><h3>Details</h3><ul><li>Regulation 4.25" diameter — matches any course cup</li><li>Collapses to ¼ inch flat — fits in any bag side pocket</li><li>Velcro base grips carpet, hardwood, and short grass without movement</li><li>Includes a removable flag pin (12") for visual reference</li><li>White with black liner — high contrast for accurate aim practice</li></ul><h3>Materials</h3><p>High-density polyethylene cup with velcro base and aluminum flag pin.</p><h3>Care</h3><p>Wipe clean with a damp cloth. Store flat in the included sleeve.</p>",WYX Golf Supply Co.,,Training Aids,"putting cup,golf training aid,golf practice,backyard golf,golf gifts for dad,golf gifts for him,under $30,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-PPC-001,300,shopify,10,deny,manual,26.00,,TRUE,TRUE,https://images.unsplash.com/photo-1596356401117-eecff3d3e1c4?w=1200&h=900&fit=crop&q=80,1,Golf putting practice on green,Portable Golf Putting Cup Regulation Size | WYX Golf Supply Co.,A regulation 4.25 inch portable putting cup that collapses flat and sets up on any surface. Includes flag pin. Backyard and living room putting practice. Under $30.,active
golf-ball-identification-stamp-set,Golf Ball Identification Stamp Set,"<p>A set of three quick-dry ink stamps sized for golf ball dimples — alphabet letters and number sets that mark any ball in 3 seconds and dry in 10. No more lost ball disputes at the tee.</p><h3>Details</h3><ul><li>Three stamps: two letters + one number</li><li>Permanent golf-grade ink — does not smear or transfer to club face</li><li>Dries on ball surface in under 10 seconds</li><li>Works on all ball covers including urethane tour balls</li><li>Refillable ink pad included — good for 500+ stampings</li></ul><h3>Materials</h3><p>Hard plastic stamp body with golf-grade quick-dry pigment ink.</p><h3>Care</h3><p>Cap stamps after use. Refill ink pad when impression lightens.</p>",WYX Golf Supply Co.,,Accessories,"golf ball stamp,golf accessories,golf ball marker,stocking stuffer,golf gifts under $25,under $20,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GBS-001,100,shopify,10,deny,manual,18.00,,TRUE,TRUE,https://images.unsplash.com/photo-1535131749006-b7f58c99034b?w=1200&h=900&fit=crop&q=80,1,Close up of golf ball on tee,Golf Ball Identification Stamp | Mark Your Golf Balls | WYX Golf Supply Co.,A golf ball identification stamp set with 3 stamps. Permanent golf-grade ink dries in 10 seconds. Never lose a ball dispute again. Under $20.,active
uv-sun-gaiter-golf-upf50,UV Sun Gaiter for Golf — UPF 50+,"<p>A lightweight UPF 50+ neck and face gaiter that pulls up over the nose for full sun coverage on exposed summer rounds — 12 inches of coverage, moisture-wicking, and cool-feel fabric.</p><h3>Details</h3><ul><li>UPF 50+ fabric blocks 98% of UV-A and UV-B</li><li>Covers neck, chin, and pulls up to nose bridge for full coverage</li><li>Cool-feel moisture-wicking fabric reduces heat buildup under sun</li><li>Seamless knit construction — no pressure points or irritation</li><li>One size fits all — 12-inch tube design with 4-way stretch</li></ul><h3>Materials</h3><p>92% polyester / 8% spandex cool-feel fabric with UPF 50+ rating.</p><h3>Care</h3><p>Machine wash cold, hang dry. UV protection is permanent — not wash-out.</p>",WYX Golf Supply Co.,,Apparel,"sun gaiter,golf sun protection,golf apparel,upf 50,summer golf,golf accessories,under $20,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-UVG-001,80,shopify,10,deny,manual,16.00,,TRUE,TRUE,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=1200&h=900&fit=crop&q=80,1,Athletic neck gaiter for outdoor sports,Golf Sun Gaiter UPF 50+ | Neck UV Protection | WYX Golf Supply Co.,A UPF 50+ golf sun gaiter that covers neck to nose. Lightweight cool-feel fabric moisture-wicking seamless. Summer sun protection for any round. Under $20.,active
golf-spike-wrench-cleat-kit-20,Golf Spike Wrench + Cleat Kit (20 Cleats),"<p>A universal golf spike wrench with 20 replacement soft spikes — fits all FastTwist and Q-LOK shoe systems. Replace worn cleats in 15 minutes at home instead of paying a shop to do it.</p><h3>Details</h3><ul><li>Fits FastTwist 3.0 and Q-LOK spike systems (80%+ of golf shoes)</li><li>20 replacement soft spikes in the bag — enough for two full shoe changes</li><li>Universal wrench handle with FastTwist and Q-LOK heads</li><li>Replacement takes under 15 minutes with no tools beyond the included wrench</li><li>Soft spikes — legal for all courses and gentle on greens</li></ul><h3>Materials</h3><p>Glass-filled nylon spike body. Heat-treated steel wrench shaft.</p><h3>Care</h3><p>Store wrench dry. Replace spikes when they no longer grip on wet turf.</p>",WYX Golf Supply Co.,,Accessories,"golf spikes,golf cleats,spike wrench,golf accessories,golf shoe care,stocking stuffer,under $20,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GSW-001,250,shopify,10,deny,manual,16.00,,TRUE,TRUE,https://images.unsplash.com/photo-1528698827591-e19ccd7bc23d?w=1200&h=900&fit=crop&q=80,1,Golf shoe cleats and accessories,Golf Spike Wrench + Replacement Cleats Kit | WYX Golf Supply Co.,A universal golf spike wrench with 20 replacement soft cleats. Fits FastTwist and Q-LOK systems. Recleat two full pairs of shoes at home. Under $20.,active
golf-cart-organizer-caddie-6-pocket,Golf Cart Organizer Caddie — 6 Pockets,"<p>A hanging 6-pocket cart organizer that clamps to any golf cart frame — front pocket for the GPS or phone, side pockets for tees, markers, gloves, snacks, and sunscreen. Clears the cart floor.</p><h3>Details</h3><ul><li>6 pockets: 1 clear-top front pouch (GPS/phone) + 5 side pockets</li><li>Universal clamp — fits any cart uprights, no tools required</li><li>Water-resistant 600D polyester shell</li><li>Zippered top pocket for valuables (keys, wallet)</li><li>Collapses flat — stores in cart bag or bag pocket</li></ul><h3>Materials</h3><p>600D water-resistant polyester with aluminum alloy clamp hardware.</p><h3>Care</h3><p>Wipe exterior with damp cloth. Air dry before folding for storage.</p>",WYX Golf Supply Co.,,Accessories,"golf cart organizer,golf accessories,cart caddie,golf trip,golf gifts for dad,golf bag accessories,under $35,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GCO-001,400,shopify,10,deny,manual,32.00,,TRUE,TRUE,https://images.unsplash.com/photo-1598965402089-897ce52e8355?w=1200&h=900&fit=crop&q=80,1,Golf cart on course with accessories,Golf Cart Organizer 6-Pocket Caddie | WYX Golf Supply Co.,A 6-pocket golf cart organizer caddie that clamps to any cart frame. Clear GPS/phone pocket 5 side pockets collapses flat. Clears the cart floor. Under $35.,active
golf-alignment-board-foot-trainer,Golf Alignment Board — Foot & Ball Position Trainer,"<p>A foldable golf alignment board with foot position guides, ball position markers for driver/iron/wedge, and an aim line — builds consistent setup in 30 days of range use.</p><h3>Details</h3><ul><li>Three labeled ball position guides: Driver / Irons / Wedge</li><li>Foot position markers for shoulder-width stance confirmation</li><li>Aim line runs parallel to ball-target line for accurate alignment</li><li>Folds in half — fits in bag side pocket or carry sleeve</li><li>Non-slip rubber backing — stays in place on range mats and grass</li></ul><h3>Materials</h3><p>HDPE board with printed position guides and rubber non-slip backing.</p><h3>Care</h3><p>Wipe clean with damp cloth. Fold along the center crease — do not roll.</p>",WYX Golf Supply Co.,,Training Aids,"alignment board,golf training aid,golf alignment,golf practice,golf gifts for him,golf improvement,under $40,direct-catalog,wyx-curated",TRUE,Title,Default Title,WYX-GAB-001,350,shopify,10,deny,manual,38.00,,TRUE,TRUE,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=1200&h=900&fit=crop&q=80,1,Golfer practicing alignment and stance on range,Golf Alignment Board Training Aid | Foot Position Trainer | WYX Golf Supply Co.,A foldable golf alignment board with ball position guides foot markers and aim line. Builds consistent setup at the range. Folds to bag-pocket size. Under $40.,active
